Ref,Val,Package,PosX,PosY,Rot,Side
"C111","0.1µF","C_0402_1005Metric",158.680000,-82.107200,0.000000,top
"C112","0.1µF","C_0402_1005Metric",158.280000,-95.274600,0.000000,top
"C113","0.1µF","C_0402_1005Metric",158.680000,-91.314900,0.000000,top
"C114","10µF","C_0603_1608Metric",184.865000,-82.030000,0.000000,top
"C115","0.1µF","C_0402_1005Metric",164.400000,-76.080000,-90.000000,top
"C116","0.1µF","C_0402_1005Metric",177.492500,-76.223200,-90.000000,top
"C117","0.1µF","C_0402_1005Metric",184.290000,-83.800000,180.000000,top
"C118","0.1µF","C_0402_1005Metric",158.733800,-84.122400,0.000000,top
"C119","10µF","C_0603_1608Metric",160.600000,-75.400000,90.000000,top
"C120","10µF","C_0603_1608Metric",172.310000,-75.545000,90.000000,top
"C121","33pF","C_0402_1005Metric",178.705000,-119.375000,180.000000,top
"C122","33pF","C_0402_1005Metric",180.555000,-119.350000,0.000000,top
"C123","0.1µF","C_0402_1005Metric",183.528800,-125.581400,180.000000,top
"C124","0.1µF","C_0402_1005Metric",179.805000,-134.512500,180.000000,top
"C125","0.1µF","C_0402_1005Metric",176.355000,-134.512500,180.000000,top
"C126","0.1µF","C_0402_1005Metric",183.528800,-129.581400,180.000000,top
"C127","0.1µF","C_0402_1005Metric",167.068800,-127.381400,0.000000,top
"C128","0.1µF","C_0402_1005Metric",183.528800,-127.581400,180.000000,top
"C129","0.1µF","C_0402_1005Metric",175.974800,-119.211400,-90.000000,top
"C130","0.1µF","C_0402_1005Metric",167.068800,-128.331400,0.000000,top
"C131","0.1µF","C_0402_1005Metric",174.495000,-134.512500,0.000000,top
"C132","0.1µF","C_0402_1005Metric",172.045000,-120.062500,0.000000,top
"C133","0.1µF","C_0402_1005Metric",182.844800,-120.131400,180.000000,top
"C134","27pF","C_0402_1005Metric",199.550300,-63.669700,0.000000,top
"C135","10nF","C_0402_1005Metric",201.721300,-47.539600,90.000000,top
"C136","27pF","C_0402_1005Metric",202.700300,-63.669700,180.000000,top
"C137","0.1µF","C_0402_1005Metric",201.302300,-52.710600,180.000000,top
"C138","4.7µF","CP_EIA-3216-12_Kemet-S",191.025000,-57.200000,180.000000,top
"C139","0.1µF","C_0402_1005Metric",189.241300,-51.409600,0.000000,top
"C140","4.7µF","CP_EIA-3216-12_Kemet-S",191.018700,-59.400000,180.000000,top
"C141","0.1µF","C_0402_1005Metric",201.351300,-50.059600,180.000000,top
"C142","0.1µF","C_0402_1005Metric",194.880000,-71.400000,0.000000,top
"C143","0.1µF","C_0402_1005Metric",197.070000,-45.050000,0.000000,top
"C144","0.1µF","C_0402_1005Metric",194.411300,-56.260600,0.000000,top
"C145","0.1µF","C_0402_1005Metric",191.505000,-45.050000,0.000000,top
"C146","0.1µF","C_0402_1005Metric",201.301300,-48.909600,180.000000,top
"C147","0.1µF","C_0402_1005Metric",199.541300,-56.259600,180.000000,top
"C148","0.1µF","C_0402_1005Metric",189.240300,-48.700000,0.000000,top
"C149","0.1µF","C_0402_1005Metric",190.630000,-138.275000,0.000000,top
"C150","0.1µF","C_0402_1005Metric",193.105000,-138.275000,0.000000,top
"C151","0.1µF","C_0402_1005Metric",192.628800,-117.231400,0.000000,top
"C152","0.1µF","C_0402_1005Metric",190.130000,-117.250000,0.000000,top
"C153","0.1µF","C_0402_1005Metric",207.136300,-63.835600,0.000000,top
"C154","4.7µF","CP_EIA-3216-12_Kemet-S",206.852500,-65.600000,180.000000,top
"DAC_CS1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",178.700000,-70.100000,0.000000,top
"DAC_OUT0","TestPoint","TestPoint_Keystone_5000-5004_Miniature",151.600000,-59.000000,0.000000,top
"DAC_OUT1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",149.200000,-75.200000,0.000000,top
"DAC_OUT2","TestPoint","TestPoint_Keystone_5000-5004_Miniature",124.000000,-44.600000,0.000000,top
"DAC_OUT3","TestPoint","TestPoint_Keystone_5000-5004_Miniature",153.400000,-66.000000,0.000000,top
"DAC_OUT4","TestPoint","TestPoint_Keystone_5000-5004_Miniature",125.200000,-84.000000,0.000000,top
"DAC_OUT5","TestPoint","TestPoint_Keystone_5000-5004_Miniature",141.600000,-75.200000,0.000000,top
"DAC_OUT6","TestPoint","TestPoint_Keystone_5000-5004_Miniature",140.800000,-59.200000,0.000000,top
"DAC_OUT7","TestPoint","TestPoint_Keystone_5000-5004_Miniature",124.200000,-57.800000,0.000000,top
"DAC_SCLK1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",161.600000,-68.400000,0.000000,top
